,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
41,2022-09-21,250.46054300419087,229.52870806663,285.84411723950154,250.46054300419087,250.46054300419087,7.7895080540338055,7.7895080540338055,7.7895080540338055,7.7895080540338055,7.7895080540338055,7.7895080540338055,0.0,0.0,0.0,258.2500510582247
42,2022-09-22,249.35229132253426,230.40636836725588,287.16371027515544,249.35229132253426,249.35229132253426,7.200193369731841,7.200193369731841,7.200193369731841,7.200193369731841,7.200193369731841,7.200193369731841,0.0,0.0,0.0,256.5524846922661
43,2022-09-23,248.24403964087765,227.82165428031448,283.1132868574636,248.24403964087765,248.24403964087765,7.586325339731889,7.586325339731889,7.586325339731889,7.586325339731889,7.586325339731889,7.586325339731889,0.0,0.0,0.0,255.83036498060955
44,2022-09-26,244.91928459590787,225.89913058446842,280.0021125535457,244.91928459590787,244.91928459590787,8.152214075150036,8.152214075150036,8.152214075150036,8.152214075150036,8.152214075150036,8.152214075150036,0.0,0.0,0.0,253.0714986710579
45,2022-09-27,243.81103291425129,220.67460919731118,278.08986146991265,243.81103291425129,243.81103291425129,6.544577627082052,6.544577627082052,6.544577627082052,6.544577627082052,6.544577627082052,6.544577627082052,0.0,0.0,0.0,250.35561054133333
46,2022-09-28,242.70278123259467,222.54328496862237,278.95811791262537,242.70278123259467,242.70278123259467,7.789508054035299,7.789508054035299,7.789508054035299,7.789508054035299,7.789508054035299,7.789508054035299,0.0,0.0,0.0,250.49228928662998
47,2022-09-29,241.5945295509381,220.20769214951983,275.95268138625045,241.5945295509381,241.5945295509381,7.200193369740024,7.200193369740024,7.200193369740024,7.200193369740024,7.200193369740024,7.200193369740024,0.0,0.0,0.0,248.7947229206781
48,2022-09-30,240.48627786928142,220.35059589434738,275.65859234207284,240.48627786928142,240.48627786928142,7.586325339790669,7.586325339790669,7.586325339790669,7.586325339790669,7.586325339790669,7.586325339790669,0.0,0.0,0.0,248.0726032090721
49,2022-10-03,237.16151902953987,218.54703171722247,273.4529892087735,237.16151902953987,237.16151902953987,8.152214075147398,8.152214075147398,8.152214075147398,8.152214075147398,8.152214075147398,8.152214075147398,0.0,0.0,0.0,245.3137331046873
50,2022-10-04,236.05326608295934,214.6166188059808,270.1337415460752,236.05326608295934,236.05326608295934,6.544577627074331,6.544577627074331,6.544577627074331,6.544577627074331,6.544577627074331,6.544577627074331,0.0,0.0,0.0,242.59784371003366
51,2022-10-05,234.9450131363789,214.46380612149812,268.5887411555652,234.9450131363789,234.9450131363789,7.789508054031969,7.789508054031969,7.789508054031969,7.789508054031969,7.789508054031969,7.789508054031969,0.0,0.0,0.0,242.73452119041085
52,2022-10-06,233.83676018979833,214.15262121794132,270.90439578219446,233.83676018979833,233.83676018979833,7.200193369734656,7.200193369734656,7.200193369734656,7.200193369734656,7.200193369734656,7.200193369734656,0.0,0.0,0.0,241.03695355953298
53,2022-10-07,232.7285072432178,212.67296013385982,266.10244246648244,232.7285072432178,232.7285072432178,7.586325339771257,7.586325339771257,7.586325339771257,7.586325339771257,7.586325339771257,7.586325339771257,0.0,0.0,0.0,240.31483258298906
54,2022-10-10,229.40374840347627,211.87677043967196,265.1270938761937,229.40374840347627,229.40374840347627,8.152214075165782,8.152214075165782,8.152214075165782,8.152214075165782,8.152214075165782,8.152214075165782,0.0,0.0,0.0,237.55596247864204
55,2022-10-11,228.29549545689576,207.12762096984582,263.5176872881554,228.29549545689576,228.29549545689576,6.544577627095557,6.544577627095557,6.544577627095557,6.544577627095557,6.544577627095557,6.544577627095557,0.0,0.0,0.0,234.8400730839913
